,latitude_ERA,longitude_ERA,MODIS_LST,V15_prediction,V20_prediction,V20X_prediction,V15X_prediction,V15_error,V20_error,V20X_error,V15X_error,delta,deltaX,deltaX15,values,step,surface,latitude,longitude,change_in_cl,V15_cl,V20_cl,percentage_change_in_cl,heightAboveGround,change_in_si10,V15_si10,V20_si10,percentage_change_in_si10,change_in_cvh,V15_cvh,V20_cvh,percentage_change_in_cvh,change_in_cvl,V15_cvl,V20_cvl,percentage_change_in_cvl,change_in_lsm,V15_lsm,V20_lsm,percentage_change_in_lsm,change_in_dl,V15_dl,V20_dl,percentage_change_in_dl,cl_change_is_significant,si10_change_is_significant,cvh_change_is_significant,cvl_change_is_significant,lsm_change_is_significant,dl_change_is_significant,bitstring
192,-69.8360180326378,-70.5,254.92961,255.28716,255.39908,254.30743,254.89714,6.1305914,6.182299,6.364307,6.286876,0.051707745,0.23371553,0.15628481,524904,0 days,0.0,-69.8360180326378,-70.5,0.0,0.0,0.0,,10.0,0.36010742,0.6398926,1.0,0.5627623,0.0,0.0,0.0,,0.0,0.0,0.0,,7.081032e-05,0.9999292,1.0,7.081533e-05,-15.0,25.0,10.0,-0.6,False,True,False,False,False,True,000101
193,-69.8360180326378,-69.75,253.04417,255.39412,253.5307,251.72675,254.41505,6.644539,6.498918,7.015477,6.7500687,-0.14562082,0.3709383,0.105529785,524905,0 days,0.0,-69.8360180326378,-69.75,1.5258789e-05,0.0,1.5258789e-05,inf,10.0,0.31930542,0.68045044,0.99975586,0.46925595,0.0,0.0,0.0,,0.0,0.0,0.0,,0.00094890594,0.9979794,0.9989283,0.0009508272,-15.0,25.0,10.0,-0.6,False,True,False,False,False,True,000101
194,-69.8360180326378,-69.0,254.64757,259.78152,259.17917,259.7629,257.7959,6.337009,6.0783887,6.4091153,5.4851127,-0.25862026,0.07210636,-0.8518963,524906,0 days,0.0,-69.8360180326378,-69.0,0.0001693964,0.0,0.0001693964,inf,10.0,-0.11727905,0.21282959,0.09555054,-0.5510467,0.0,0.0,0.0,,0.0,0.0,0.0,,0.023187399,0.074810624,0.09799802,0.30994794,588.0303,16.368164,604.39844,35.925243,False,True,False,False,False,True,000101
195,-69.8360180326378,-68.25,255.90656,258.2902,259.3996,258.53455,259.63995,6.1569138,6.2434897,6.191316,6.4631524,0.086575985,0.03440237,0.30623865,524907,0 days,0.0,-69.8360180326378,-68.25,0.0002374649,0.0,0.0002374649,inf,10.0,0.024353027,0.73846436,0.7628174,0.03297793,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0022588968,0.7513331,0.753592,0.0030065184,3.8720703,25.0,28.87207,0.15488282,False,False,False,False,False,True,000100
196,-69.8360180326378,-67.5,253.74625,257.69513,256.67386,257.1959,256.53848,6.1791444,6.209676,6.248664,5.897005,0.030531406,0.06951952,-0.2821393,524908,0 days,0.0,-69.8360180326378,-67.5,0.0,0.0,0.0,,10.0,0.095184326,0.9048157,1.0,0.105197474,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,-15.0,25.0,10.0,-0.6,False,False,False,False,False,True,000100
197,-69.8360180326378,-66.75,252.6096,255.0963,254.38176,255.13914,254.65814,5.7349434,5.548059,5.5505652,5.2693973,-0.1868844,-0.18437815,-0.46554613,524909,0 days,0.0,-69.8360180326378,-66.75,0.0,0.0,0.0,,10.0,0.06719971,0.9328003,1.0,0.072040826,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,-15.0,25.0,10.0,-0.6,False,False,False,False,False,True,000100
198,-69.8360180326378,-66.0,249.86208,252.99068,252.24629,252.39444,252.55849,5.8364387,5.3602214,5.5716925,5.4656525,-0.47621727,-0.2647462,-0.3707862,524910,0 days,0.0,-69.8360180326378,-66.0,0.0,0.0,0.0,,10.0,0.021881104,0.9781189,1.0,0.022370597,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,-15.0,25.0,10.0,-0.6,False,False,False,False,False,True,000100
199,-69.8360180326378,-65.25,248.32715,250.81342,250.4487,250.11523,250.56287,5.5497766,5.4359813,5.274593,5.568549,-0.11379528,-0.27518368,0.018772602,524911,0 days,0.0,-69.8360180326378,-65.25,0.0,0.0,0.0,,10.0,0.0178833,0.9821167,1.0,0.018208936,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,-15.0,25.0,10.0,-0.6,False,False,False,False,False,True,000100
200,-69.8360180326378,-64.5,247.9486,248.08066,247.62135,248.79704,246.4588,5.7856092,6.038816,6.162127,6.8385844,0.25320673,0.37651777,1.0529752,524912,0 days,0.0,-69.8360180326378,-64.5,0.0,0.0,0.0,,10.0,0.09057617,0.9094238,1.0,0.09959731,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,-15.0,25.0,10.0,-0.6,False,False,False,False,False,True,000100
201,-69.8360180326378,-63.75,249.54543,250.79944,249.9188,249.75818,249.47545,6.09512,6.2413883,6.0833526,6.1919007,0.14626837,-0.011767387,0.09678078,524913,0 days,0.0,-69.8360180326378,-63.75,0.0,0.0,0.0,,10.0,0.02432251,0.9756775,1.0,0.024928842,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,-15.0,25.0,10.0,-0.6,False,False,False,False,False,True,000100
209,-69.8360180326378,33.0,255.90434,255.28497,257.16605,254.43417,256.09213,5.5414987,5.152691,6.4738297,5.4239173,-0.38880777,0.9323311,-0.11758137,524562,0 days,0.0,-69.8360180326378,33.0,0.0,0.0,0.0,,10.0,0.56152344,0.43847656,1.0,1.2806236,0.0,0.0,0.0,,0.0,0.0,0.0,,0.00051546097,0.99948454,1.0,0.0005157268,-15.0,25.0,10.0,-0.6,False,True,False,False,False,True,000101
210,-69.8360180326378,33.75,254.37556,252.30455,252.4856,251.29565,251.9277,5.0717564,5.2155585,5.639652,5.2495546,0.14380217,0.5678954,0.17779827,524563,0 days,0.0,-69.8360180326378,33.75,0.0,0.0,0.0,,10.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,-15.0,25.0,10.0,-0.6,False,False,False,False,False,True,000100
214,-69.8360180326378,36.75,254.65851,255.22583,254.9317,253.30728,256.1698,4.6959877,5.1422167,5.8329716,4.614256,0.44622898,1.1369839,-0.081731796,524567,0 days,0.0,-69.8360180326378,36.75,0.0,0.0,0.0,,10.0,0.09490967,0.90509033,1.0,0.104862094,0.0,0.0,0.0,,0.0,0.0,0.0,,0.041065097,0.9589349,1.0,0.042823654,-2.2529297,25.0,22.74707,-0.09011719,False,False,False,False,False,False,000000
215,-69.8360180326378,37.5,255.19696,254.5054,254.50845,252.69089,256.02618,5.377791,5.6198506,6.467502,5.005798,0.24205971,1.0897112,-0.37199306,524568,0 days,0.0,-69.8360180326378,37.5,0.00011897087,0.0,0.00011897087,inf,10.0,0.015014648,0.9328613,0.947876,0.016095264,0.0,0.0,0.0,,0.0,0.0,0.0,,0.025036693,0.9216317,0.9466684,0.027165616,-4.6308594,25.0,20.36914,-0.18523437,False,False,False,False,False,True,000100
216,-69.8360180326378,38.25,255.87036,254.44617,254.47789,253.83914,253.45946,5.3886213,5.6252995,5.752469,6.1923876,0.23667812,0.36384773,0.80376625,524569,0 days,0.0,-69.8360180326378,38.25,0.00031888485,0.0,0.00031888485,inf,10.0,0.17797852,0.5071106,0.6850891,0.3509659,0.0,0.0,0.0,,0.0,0.0,0.0,,0.09076011,0.57786536,0.6686255,0.157061,56.288086,25.0,81.288086,2.2515235,False,True,False,False,False,True,000101
217,-69.8360180326378,39.0,256.87958,256.031,256.18054,255.67998,256.13065,5.0648084,5.183952,5.0634747,4.9415326,0.119143486,-0.0013337135,-0.12327576,524570,0 days,0.0,-69.8360180326378,39.0,0.0022614002,0.0,0.0022614002,inf,10.0,0.16394043,0.26623535,0.43017578,0.6157726,0.0,0.0,0.0,,0.0,0.0,0.0,,0.05919516,0.37619793,0.4353931,0.1573511,36.223633,23.211914,59.435547,1.5605621,False,True,False,False,False,True,000101
218,-69.8360180326378,39.75,255.39494,255.91652,255.30263,255.2511,255.2266,4.554565,5.1404314,4.7327604,4.598581,0.58586645,0.17819548,0.044015884,524571,0 days,0.0,-69.8360180326378,39.75,0.0,0.0,0.0,,10.0,0.20880127,0.79119873,1.0,0.26390496,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,-14.454102,25.0,10.545898,-0.57816404,False,True,False,False,False,True,000101
261,-69.8360180326378,75.75,254.91548,256.051,258.71735,255.55687,256.8505,4.4598546,5.2273293,4.38026,4.510892,0.76747465,-0.07959461,0.05103731,524619,0 days,0.0,-69.8360180326378,75.75,0.0,0.0,0.0,,10.0,0.66586304,0.33413696,1.0,1.9927847,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0002477169,0.9997523,1.0,0.00024777828,-13.265625,25.0,11.734375,-0.530625,False,True,False,False,False,True,000101
376,-69.55498829880318,-72.0,256.88394,257.51453,255.24982,256.9311,257.599,5.7971396,6.4967747,6.097391,5.788781,0.699635,0.30025148,-0.008358479,524422,0 days,0.0,-69.55498829880318,-72.0,0.00026857853,0.0,0.00026857853,inf,10.0,-0.39172363,0.6791992,0.2874756,-0.57674336,0.0,0.0,0.0,,0.0,0.0,0.0,,0.00794661,0.29025722,0.29820383,0.027377822,13.674805,0.9160156,14.59082,14.928572,False,True,False,False,False,True,000101
377,-69.55498829880318,-71.25,254.92084,255.56563,257.03372,255.6711,256.1117,6.0106554,5.7060604,5.8053236,5.749035,-0.304595,-0.2053318,-0.26162052,524423,0 days,0.0,-69.55498829880318,-71.25,1.21593475e-05,0.0,1.21593475e-05,inf,10.0,0.18536377,0.8145447,0.99990845,0.22756734,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0010317564,0.9981073,0.9991391,0.0010337129,-15.0,25.0,10.0,-0.6,False,True,False,False,False,True,000101
378,-69.55498829880318,-70.5,254.76044,253.22778,253.21742,252.43488,252.60329,5.9558744,5.746343,6.019481,5.967359,-0.2095313,0.06360674,0.011484623,524424,0 days,0.0,-69.55498829880318,-70.5,0.0,0.0,0.0,,10.0,0.21557617,0.7844238,1.0,0.27482104,0.0,0.0,0.0,,0.0,0.0,0.0,,7.331371e-05,0.9999267,1.0,7.331909e-05,-15.0,25.0,10.0,-0.6,False,True,False,False,False,True,000101
379,-69.55498829880318,-69.75,255.0535,255.7136,254.8201,253.79904,256.00476,6.4042583,6.2502174,6.3509603,6.252522,-0.15404081,-0.053297997,-0.15173626,524425,0 days,0.0,-69.55498829880318,-69.75,0.00020444393,0.0,0.00020444393,inf,10.0,0.25772095,0.65927124,0.9169922,0.39091793,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0073947906,0.90793407,0.91532886,0.008144634,14.125,25.0,39.125,0.565,False,True,False,False,False,True,000101
380,-69.55498829880318,-69.0,257.74057,262.89755,261.11655,262.07828,261.12366,6.1143456,5.337935,5.873634,5.134283,-0.7764106,-0.24071169,-0.9800625,524426,0 days,0.0,-69.55498829880318,-69.0,9.179115e-06,0.0,9.179115e-06,inf,10.0,0.020141602,0.021484375,0.041625977,0.9375,0.0,0.0,0.0,,0.0,0.0,0.0,,0.005059719,0.039184928,0.044244647,0.12912412,621.1826,53.76367,674.9463,11.553947,False,False,False,False,False,True,000100
381,-69.55498829880318,-68.25,256.0414,256.5101,258.00897,256.19116,259.12927,5.642158,5.5325437,5.5920286,5.394853,-0.10961437,-0.050129414,-0.24730492,524427,0 days,0.0,-69.55498829880318,-68.25,4.887581e-05,0.0,4.887581e-05,inf,10.0,0.17462158,0.76342773,0.9380493,0.22873361,0.0,0.0,0.0,,0.0,0.0,0.0,,0.003597021,0.9239831,0.9275801,0.0038929512,5.1640625,25.0,30.164062,0.2065625,False,True,False,False,False,True,000101
382,-69.55498829880318,-67.5,254.47678,254.75838,255.04706,253.91856,254.54346,6.2875824,6.51253,6.590274,6.657532,0.22494745,0.30269146,0.36994982,524428,0 days,0.0,-69.55498829880318,-67.5,0.0,0.0,0.0,,10.0,0.1267395,0.8732605,1.0,0.14513367,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,-14.580078,25.0,10.419922,-0.58320314,False,True,False,False,False,True,000101
383,-69.55498829880318,-66.75,254.09871,257.6814,256.83823,256.3768,256.27054,6.1227655,6.4164796,6.334606,5.943224,0.29371405,0.21184063,-0.17954159,524429,0 days,0.0,-69.55498829880318,-66.75,0.0,0.0,0.0,,10.0,0.05419922,0.9458008,1.0,0.057305112,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,-15.0,25.0,10.0,-0.6,False,False,False,False,False,True,000100
384,-69.55498829880318,-66.0,252.25914,254.04913,253.11005,253.17307,252.74237,6.3315916,6.4497385,6.221315,6.233562,0.1181469,-0.1102767,-0.09802961,524430,0 days,0.0,-69.55498829880318,-66.0,0.0,0.0,0.0,,10.0,0.11175537,0.8882446,1.0,0.12581599,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,-15.0,25.0,10.0,-0.6,False,True,False,False,False,True,000101
385,-69.55498829880318,-65.25,249.31035,250.82303,249.6532,249.85722,249.12794,6.151943,6.237338,6.0858674,6.4007335,0.08539486,-0.0660758,0.24879026,524431,0 days,0.0,-69.55498829880318,-65.25,0.0,0.0,0.0,,10.0,0.15081787,0.8491821,1.0,0.17760368,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,-15.0,25.0,10.0,-0.6,False,True,False,False,False,True,000101
386,-69.55498829880318,-64.5,249.28835,250.30952,249.43193,249.60904,248.27113,6.0482216,6.357237,6.249464,6.7568574,0.30901527,0.20124245,0.7086358,524432,0 days,0.0,-69.55498829880318,-64.5,0.0,0.0,0.0,,10.0,0.07748413,0.92251587,1.0,0.08399219,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,-15.0,25.0,10.0,-0.6,False,False,False,False,False,True,000100
387,-69.55498829880318,-63.75,251.01334,252.78392,251.94777,251.0878,250.56282,5.8611326,6.073968,6.145129,6.385921,0.21283531,0.28399658,0.5247884,524433,0 days,0.0,-69.55498829880318,-63.75,0.0,0.0,0.0,,10.0,0.09390259,0.9060974,1.0,0.1036341,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,-15.0,25.0,10.0,-0.6,False,False,False,False,False,True,000100
388,-69.55498829880318,-63.0,251.96703,252.04718,252.45985,251.21567,252.16385,5.768455,5.733879,6.11694,5.807011,-0.03457594,0.348485,0.0385561,524434,0 days,0.0,-69.55498829880318,-63.0,0.0,0.0,0.0,,10.0,0.17025757,0.82974243,1.0,0.20519328,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,-15.0,25.0,10.0,-0.6,False,True,False,False,False,True,000101
389,-69.55498829880318,-62.25,252.32172,253.0788,253.57187,252.24318,253.51541,5.2232013,5.2731147,5.583473,5.3687873,0.049913406,0.36027193,0.14558601,524435,0 days,0.0,-69.55498829880318,-62.25,0.0,0.0,0.0,,10.0,0.17211914,0.82788086,1.0,0.20790327,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,-15.0,25.0,10.0,-0.6,False,True,False,False,False,True,000101
390,-69.55498829880318,-61.5,252.82071,252.76363,251.72351,251.94188,254.2871,5.709331,6.3090873,5.794852,5.2681313,0.59975624,0.085520744,-0.44119978,524436,0 days,0.0,-69.55498829880318,-61.5,0.00010371208,0.0,0.00010371208,inf,10.0,-0.16363525,0.99816895,0.8345337,-0.16393542,0.0,0.0,0.0,,0.0,0.0,0.0,,-0.00927043,0.8365103,0.8272399,-0.0110822655,-9.330078,25.0,15.669922,-0.37320313,False,True,False,False,False,True,000101
392,-69.55498829880318,33.75,253.83621,251.79396,251.92389,250.97937,251.41719,4.99846,5.1532817,5.423878,5.229533,0.15482187,0.42541838,0.23107338,524083,0 days,0.0,-69.55498829880318,33.75,0.0,0.0,0.0,,10.0,0.00045776367,0.99954224,1.0,0.0004579733,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,-15.0,25.0,10.0,-0.6,False,False,False,False,False,True,000100
394,-69.55498829880318,35.25,253.09393,254.97552,254.13408,254.2276,254.22807,4.8127174,5.3201795,4.912714,4.8650804,0.507462,0.09999657,0.05236292,524085,0 days,0.0,-69.55498829880318,35.25,0.0,0.0,0.0,,10.0,0.00869751,0.9913025,1.0,0.0087738205,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,-15.0,25.0,10.0,-0.6,False,False,False,False,False,True,000100
395,-69.55498829880318,36.0,256.58798,255.17265,255.97107,254.94693,255.23882,5.097156,5.168929,5.2228417,5.150014,0.07177305,0.12568569,0.052857876,524086,0 days,0.0,-69.55498829880318,36.0,0.0,0.0,0.0,,10.0,0.0058288574,0.99417114,1.0,0.0058630323,0.0,0.0,0.0,,0.0,0.0,0.0,,0.008191228,0.9918088,1.0,0.008258878,-15.0,25.0,10.0,-0.6,False,False,False,False,False,True,000100
548,-69.55498829880318,156.75,249.24759,248.06593,247.16939,247.88237,247.468,4.6940203,5.184677,4.9474745,4.8783565,0.49065685,0.2534542,0.18433619,524247,0 days,0.0,-69.55498829880318,156.75,0.0,0.0,0.0,,10.0,0.051574707,0.9484253,1.0,0.054379303,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,-15.0,25.0,10.0,-0.6,False,False,False,False,False,True,000100
549,-69.55498829880318,157.5,251.53522,250.56,248.80583,248.38458,248.7266,4.6499414,5.863358,6.123624,5.7208405,1.2134166,1.4736824,1.070899,524248,0 days,0.0,-69.55498829880318,157.5,0.0,0.0,0.0,,10.0,0.26098633,0.7390137,1.0,0.35315493,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,-14.860352,25.0,10.139648,-0.59441406,False,True,False,False,False,True,000101
553,-69.27395854649907,-72.0,257.2192,261.7481,260.44543,259.70776,260.82654,5.6468663,5.225922,5.047758,5.207968,-0.4209442,-0.5991082,-0.4388981,523942,0 days,0.0,-69.27395854649907,-72.0,9.346008e-05,0.0,9.346008e-05,inf,10.0,0.41049194,0.12088013,0.5313721,3.3958597,0.0,0.0,0.0,,0.0,0.0,0.0,,0.03659153,0.5026177,0.53920925,0.07280191,3.3496094,25.0,28.34961,0.13398437,False,True,False,False,False,True,000101
554,-69.27395854649907,-71.25,254.29631,254.12993,254.75883,254.32198,254.30026,5.5309205,5.4273543,5.477989,5.4838624,-0.10356617,-0.05293131,-0.047058105,523943,0 days,0.0,-69.27395854649907,-71.25,0.0,0.0,0.0,,10.0,0.27703857,0.7229614,1.0,0.38319966,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,-15.0,25.0,10.0,-0.6,False,True,False,False,False,True,000101
555,-69.27395854649907,-70.5,252.94948,255.09969,253.78555,251.91832,253.91919,5.9329824,5.7957225,6.1732707,5.894956,-0.13725996,0.24028826,-0.038026333,523944,0 days,0.0,-69.27395854649907,-70.5,3.015995e-05,0.0,3.015995e-05,inf,10.0,0.271698,0.7279968,0.9996948,0.37321317,0.0,0.0,0.0,,0.0,0.0,0.0,,0.00051403046,0.9980322,0.99854624,0.00051504397,-15.0,25.0,10.0,-0.6,False,True,False,False,False,True,000101
556,-69.27395854649907,-69.75,257.05057,260.9241,258.40546,258.84076,259.31467,5.7573037,5.106173,5.1443253,4.7784867,-0.6511307,-0.61297846,-0.978817,523945,0 days,0.0,-69.27395854649907,-69.75,0.000121712685,0.0,0.000121712685,inf,10.0,0.118621826,0.15209961,0.27072144,0.77989566,0.0,0.0,0.0,,0.0,0.0,0.0,,-0.00642395,0.28885603,0.28243208,-0.02223928,154.79492,165.7334,320.52832,0.93399954,False,True,False,False,False,True,000101
